"","Data Series","Total Merchandise Imports"
"...2","2025 Jan","54746366"
"...3","2024 Dec","56135912"
"...4","2024 Nov","51802132"
"...5","2024 Oct","51415560"
"...6","2024 Sep","49068356"
"...7","2024 Aug","49948953"
"...8","2024 Jul","52965176"
"...9","2024 Jun","48845924"
"...10","2024 May","52681450"
"...11","2024 Apr","52900958"
"...12","2024 Mar","51339878"
"...13","2024 Feb","45008515"
"...14","2024 Jan","49246627"
"...15","2023 Dec","45253865"
"...16","2023 Nov","49402365"
"...17","2023 Oct","51889502"
"...18","2023 Sep","48959187"
"...19","2023 Aug","49259954"
"...20","2023 Jul","46574586"
"...21","2023 Jun","46726290"
"...22","2023 May","45561963"
"...23","2023 Apr","44966738"
"...24","2023 Mar","51593268"
"...25","2023 Feb","42748424"
"...26","2023 Jan","44382920"
"...27","2022 Dec","49869770"
"...28","2022 Nov","50653907"
"...29","2022 Oct","53182943"
"...30","2022 Sep","55799312"
"...31","2022 Aug","58466009"
"...32","2022 Jul","61029374"
"...33","2022 Jun","59649162"
"...34","2022 May","57604263"
"...35","2022 Apr","56116002"
"...36","2022 Mar","58079982"
"...37","2022 Feb","44958373"
"...38","2022 Jan","50026788"
"...39","2021 Dec","54349357"
"...40","2021 Nov","50674908"
"...41","2021 Oct","47945213"
"...42","2021 Sep","45980374"
"...43","2021 Aug","44714491"
"...44","2021 Jul","46107788"
"...45","2021 Jun","45039845"
"...46","2021 May","41559697"
"...47","2021 Apr","45169547"
"...48","2021 Mar","47668437"
"...49","2021 Feb","37643664"
"...50","2021 Jan","39028616"
"...51","2020 Dec","40154550"
"...52","2020 Nov","38477878"
"...53","2020 Oct","38173829"
"...54","2020 Sep","38801413"
"...55","2020 Aug","36472279"
"...56","2020 Jul","37843646"
"...57","2020 Jun","35120892"
"...58","2020 May","31458238"
"...59","2020 Apr","35878828"
"...60","2020 Mar","40433029"
"...61","2020 Feb","39472637"
"...62","2020 Jan","41180224"
"...63","2019 Dec","41580603"
"...64","2019 Nov","42489886"
"...65","2019 Oct","42282537"
"...66","2019 Sep","39450625"
"...67","2019 Aug","40998179"
"...68","2019 Jul","42030046"
"...69","2019 Jun","38979868"
"...70","2019 May","42637579"
"...71","2019 Apr","41294888"
"...72","2019 Mar","40340098"
"...73","2019 Feb","36074448"
"...74","2019 Jan","41553606"
"...75","2018 Dec","42566514"
"...76","2018 Nov","45114564"
"...77","2018 Oct","47127052"
"...78","2018 Sep","41439605"
"...79","2018 Aug","43802120"
"...80","2018 Jul","44972517"
"...81","2018 Jun","41054575"
"...82","2018 May","42887787"
"...83","2018 Apr","38382736"
"...84","2018 Mar","39745452"
"...85","2018 Feb","34609596"
"...86","2018 Jan","38491510"
"...87","2017 Dec","40104280"
"...88","2017 Nov","41476983"
"...89","2017 Oct","39347126"
"...90","2017 Sep","35732238"
"...91","2017 Aug","38702897"
"...92","2017 Jul","36874744"
"...93","2017 Jun","36416610"
"...94","2017 May","39149517"
"...95","2017 Apr","34542072"
"...96","2017 Mar","39987555"
"...97","2017 Feb","33032643"
"...98","2017 Jan","36734901"
"...99","2016 Dec","39473257"
"...100","2016 Nov","37482999"
"...101","2016 Oct","33929792"
"...102","2016 Sep","32761041"
"...103","2016 Aug","33527949"
"...104","2016 Jul","31906437"
"...105","2016 Jun","34067889"
"...106","2016 May","32922385"
"...107","2016 Apr","32237957"
"...108","2016 Mar","33661999"
"...109","2016 Feb","30949946"
"...110","2016 Jan","30382944"
"...111","2015 Dec","34868755"
"...112","2015 Nov","33630636"
"...113","2015 Oct","35998057"
