"","Data Series","Total Electronic Products","Integrated Circuits","Parts Of Personal Computer","Disk Drives","Telecommunications Equipment","Consumer Electronics","Personal Computers","Parts Of Integrated Circuits","Diodes And Transistors","Non-Electronic Products","Electrical Circuit Apparatus","Electrical Machinery & Apparatus Nes"
"...1","2025 Jan","20617493","12541485.8","3268786","141364.3","1835358","327615.7","712395.6","114197.3","998036.5","7421390.1","549164.7","551034.3"
"...2","2024 Dec","20073091.7","13837270.2","1097721.3","180292.9","1706245","222186.8","1048563.7","191289.9","1168336.9","8387054.7","536918.5","592023.7"
"...3","2024 Nov","17578418","11959275","740175.1","169126.7","1769285.7","230617.4","1001302.6","125939","955551.8","7412056.1","541935.2","529174.3"
"...4","2024 Oct","17534680.7","11960916","690582","142098.7","1843742.7","249677","727536.3","116350.1","893121.6","7568869.3","551513.2","548132.7"
"...5","2024 Sep","18634247.7","11832149.2","772058.9","174186.3","1570235.1","218610.4","774114.8","111891.5","1073017.3","6890005.6","529395.4","393904.5"
"...6","2024 Aug","16591589.4","11149163.7","797209.2","185040.2","1550093.5","198446.2","948841.5","116296","1051635.1","7485205.2","551433.5","539944.8"
"...7","2024 Jul","17587660.7","11739101.5","668062.9","155126.5","1593446.1","262384.3","1213117.4","135020.1","1024024.2","7729634.4","569049.7","416231.4"
"...8","2024 Jun","15597397.2","10378740.4","785271.1","122870","1271718","172896.9","1044633.2","108908.1","1046455","6637861.7","555768.5","364659.2"
"...9","2024 May","15892236.6","10215880.6","1075581.1","167292.5","1536469.7","221280.2","991284.2","116489.9","1034956.2","7196103.6","540773.9","500971.2"
"...10","2024 Apr","17155382.3","11750773.6","775706.9","125659","1706190.8","284167.1","761676.8","150816.5","961329.3","7103834.4","503263.9","412530.8"
"...11","2024 Mar","17389483.2","10772102.1","613374.7","125920.3","1579651.1","212326.9","2117243.8","123994.7","1112716.8","7698652.9","503065.8","566386.8"
"...12","2024 Feb","14076287.6","9411604.7","653180.3","120853.4","1339542.9","183515.3","727280.8","87910.1","883418.3","6406950.4","421726.2","318464.8"
"...13","2024 Jan","17432895.9","12348941.9","525051.1","132226.9","1837616.2","230965.5","538278.9","113684.4","1121934.4","6783290","500578.1","362145.2"
"...14","2023 Dec","15382448.3","10734156.6","527586.5","154972.1","1612595.7","181013","335223.7","106777.5","1095539.4","6677515.1","465078.7","395647.7"
"...15","2023 Nov","15701129.2","10369813.3","509016.8","137862.1","1879128.9","224509.6","438387.8","109833.3","1105107.4","7047213.7","487696.2","378464.3"
